date,opend,highd,lowd,closed,prev_opend,prev_closed,prev_highd,prev_lowd
2017-01-04,-0.3000030517578125,0.660003662109375,-0.09999847412109376,0.1699981689453125,0.0,0.0,0.0,0.0
2017-01-05,-0.09999847412109376,0.94000244140625,-0.1100006103515625,0.69000244140625,-0.3000030517578125,0.1699981689453125,0.660003662109375,-0.09999847412109376
2017-01-06,0.1699981689453125,1.3800048828125,-0.30999755859375,1.1300048828125,-0.09999847412109376,0.69000244140625,0.94000244140625,-0.1100006103515625
2017-01-09,0.0399932861328125,1.4800033569335938,-0.0099945068359375,1.0400009155273438,0.1699981689453125,1.1300048828125,1.3800048828125,-0.30999755859375
2017-01-10,-0.220001220703125,0.6100006103515625,-0.4699935913085938,0.34000396728515625,0.0399932861328125,1.0400009155273438,1.4800033569335938,-0.0099945068359375
2017-01-11,-0.3700027465820313,1.19000244140625,-0.1399993896484375,1.0100021362304688,-0.220001220703125,0.34000396728515625,0.6100006103515625,-0.4699935913085938
2017-01-12,-0.8499984741210938,0.4000015258789063,-0.69000244140625,0.3499984741210937,-0.3700027465820313,1.0100021362304688,1.19000244140625,-0.1399993896484375
2017-01-13,-0.1399993896484375,0.5100021362304688,-0.3000030517578125,-0.06999969482421875,-0.8499984741210938,0.3499984741210937,0.4000015258789063,-0.69000244140625
2017-01-17,-0.7000045776367188,1.9000015258789065,-0.1199951171875,1.660003662109375,-0.1399993896484375,-0.06999969482421875,0.5100021362304688,-0.3000030517578125
2017-01-18,0.0,0.5,-0.2900009155273437,-0.01000213623046875,-0.7000045776367188,1.660003662109375,1.9000015258789065,-0.1199951171875
2017-01-19,-0.589996337890625,0.6899948120117188,-0.029998779296875,0.3799972534179688,0.0,-0.01000213623046875,0.5,-0.2900009155273437
2017-01-20,0.6699981689453125,0.0,-0.7199935913085938,-0.4499969482421875,-0.589996337890625,0.3799972534179688,0.6899948120117188,-0.029998779296875
2017-01-23,0.0,0.80999755859375,-0.2300033569335937,0.0800018310546875,0.6699981689453125,-0.4499969482421875,0.0,-0.7199935913085938
2017-01-24,-0.529998779296875,0.5499954223632812,-0.0500030517578125,0.4199981689453125,0.0,0.0800018310546875,0.80999755859375,-0.2300033569335937
2017-01-25,0.4499969482421875,1.6800003051757812,-0.1399993896484375,1.4599990844726562,-0.529998779296875,0.4199981689453125,0.5499954223632812,-0.0500030517578125
2017-01-26,-0.20999908447265625,0.7700042724609375,-0.06999969482421875,0.2700042724609375,0.4499969482421875,1.4599990844726562,1.6800003051757812,-0.1399993896484375
2017-01-27,0.1999969482421875,0.20999908447265625,-0.5400009155273438,-0.19000244140625,-0.20999908447265625,0.2700042724609375,0.7700042724609375,-0.06999969482421875
2017-01-30,-1.0199966430664062,0.6999969482421875,-0.26999664306640625,0.6999969482421875,0.1999969482421875,-0.19000244140625,0.20999908447265625,-0.5400009155273438
2017-01-31,-0.4799957275390625,0.23999786376953125,-0.529998779296875,0.1999969482421875,-1.0199966430664062,0.6999969482421875,0.6999969482421875,-0.26999664306640625
2017-02-01,5.680000305175781,3.4600067138671875,-0.01999664306640625,1.720001220703125,-0.4799957275390625,0.1999969482421875,0.23999786376953125,-0.529998779296875
2017-02-02,-0.7699966430664062,1.4099960327148438,-0.20000457763671875,0.5499954223632812,5.680000305175781,1.720001220703125,3.4600067138671875,-0.01999664306640625
2017-02-03,-0.220001220703125,0.8800048828125,-0.149993896484375,0.7700042724609375,-0.7699966430664062,0.5499954223632812,1.4099960327148438,-0.20000457763671875
2017-02-06,0.0500030517578125,1.3699951171875,-0.230010986328125,1.1599884033203125,-0.220001220703125,0.7700042724609375,0.8800048828125,-0.149993896484375
2017-02-07,0.25,1.5500030517578125,-0.089996337890625,0.9900054931640624,0.0500030517578125,1.1599884033203125,1.3699951171875,-0.230010986328125
2017-02-08,-0.17999267578125,0.8699951171875,-0.1300048828125,0.6899871826171875,0.25,0.9900054931640624,1.5500030517578125,-0.089996337890625
2017-02-09,-0.3899993896484375,0.8000030517578125,-0.529998779296875,0.7700042724609375,-0.17999267578125,0.6899871826171875,0.8699951171875,-0.1300048828125
2017-02-10,0.040008544921875,0.4799957275390625,-0.410003662109375,-0.3400115966796875,-0.3899993896484375,0.7700042724609375,0.8000030517578125,-0.529998779296875
2017-02-13,0.9600067138671876,0.7400054931640625,-0.3300018310546875,0.209991455078125,0.040008544921875,-0.3400115966796875,0.4799957275390625,-0.410003662109375
2017-02-14,0.1800079345703125,1.6199951171875,-0.220001220703125,1.5500030517578125,0.9600067138671876,0.209991455078125,0.7400054931640625,-0.3300018310546875
2017-02-15,0.5,0.75,-0.9000091552734375,-0.010009765625,0.1800079345703125,1.5500030517578125,1.6199951171875,-0.220001220703125
2017-02-16,0.160003662109375,0.2299957275390625,-0.8300018310546875,-0.3199920654296875,0.5,-0.010009765625,0.75,-0.9000091552734375
2017-02-17,-0.25,0.7299957275390625,0.0,0.6199951171875,0.160003662109375,-0.3199920654296875,0.2299957275390625,-0.8300018310546875
2017-02-21,0.5099945068359375,0.5200042724609375,-0.25,0.470001220703125,-0.25,0.6199951171875,0.7299957275390625,0.0
2017-02-22,-0.2700042724609375,0.69000244140625,-0.3199920654296875,0.6800079345703125,0.5099945068359375,0.470001220703125,0.5200042724609375,-0.25
2017-02-23,0.2700042724609375,0.0999908447265625,-1.0800018310546875,-0.850006103515625,-0.2700042724609375,0.6800079345703125,0.69000244140625,-0.3199920654296875
2017-02-24,-0.6199951171875,0.75,-0.6300048828125,0.75,0.2700042724609375,-0.850006103515625,0.0999908447265625,-1.0800018310546875
