date,opend,highd,lowd,closed
2017-01-04,0.14999961853027344,0.37000083923339844,-0.37999916076660156,0.29000091552734375
2017-01-05,-0.2800006866455078,0.37999916076660156,-0.20999908447265625,0.020000457763671875
2017-01-06,-0.020000457763671875,0.030000686645507812,-0.37000083923339844,-0.35000038146972656
2017-01-09,-0.010000228881835938,0.6200008392333984,-0.18999862670898438,-0.14999961853027344
2017-01-10,0.06999969482421875,0.37000083923339844,-0.029998779296875,0.15999984741210938
2017-01-11,-0.11999893188476562,0.6199989318847656,-0.020000457763671875,0.5900001525878906
2017-01-12,-0.15999984741210938,0.0,-0.7700004577636719,-0.23999977111816406
2017-01-13,0.14999961853027344,0.48999977111816406,-0.10000038146972656,0.1700000762939453
2017-01-17,-0.12000083923339844,0.06999969482421875,-0.5900001525878906,-0.5399990081787109
2017-01-18,0.1999988555908203,0.07999992370605469,-0.1700000762939453,-0.06999969482421875
2017-01-19,-0.07999992370605469,0.35000038146972656,-0.37999916076660156,-0.37000083923339844
2017-01-20,0.1400012969970703,0.5100002288818359,-0.48999977111816406,-0.3299999237060547
2017-01-23,-0.030000686645507812,0.15999984741210938,-0.2700004577636719,0.07999992370605469
2017-01-24,0.06999969482421875,0.6599998474121094,-0.029998779296875,0.5699996948242188
2017-01-25,0.3100013732910156,0.26999855041503906,-0.3100013732910156,-0.13000106811523438
2017-01-26,-0.010000228881835938,0.15999984741210938,-0.5900001525878906,-0.5199985504150391
2017-01-27,0.019998550415039062,0.25,-0.09999847412109375,0.07999992370605469
2017-01-30,-0.22999954223632812,0.06999969482421875,-0.4400005340576172,-0.049999237060546875
2017-01-31,-0.13000106811523438,0.32000160217285156,-0.5199985504150391,-0.07999992370605469
2017-02-01,0.3600006103515625,0.14999961853027344,-0.37000083923339844,-0.05999946594238281
2017-02-02,-0.09000015258789062,0.22999954223632812,-0.3400001525878906,-0.2800006866455078
2017-02-03,0.13000106811523438,0.5199985504150391,-0.15000152587890625,0.4799995422363281
2017-02-06,-0.1900005340576172,0.12000083923339844,-0.31999969482421875,-0.23999977111816406
2017-02-07,0.06999969482421875,0.1700000762939453,-0.2999992370605469,-0.03999900817871094
2017-02-08,-0.030000686645507812,0.0,-0.43000030517578125,-0.37000083923339844
2017-02-09,0.1100006103515625,0.010000228881835938,-0.3600006103515625,-0.2999992370605469
2017-02-10,0.10999870300292969,0.060001373291015625,-0.28999900817871094,-0.12999916076660156
2017-02-13,0.07999992370605469,0.06999969482421875,-0.3099994659423828,-0.1100006103515625
2017-02-14,-0.22999954223632812,0.15999984741210938,-0.09000015258789062,-0.030000686645507812
2017-02-15,-0.019998550415039062,2.1099987030029297,-0.25,1.5999984741210938
2017-02-16,-0.20999908447265625,0.4200000762939453,-0.010000228881835938,0.2700004577636719
2017-02-17,-0.060001373291015625,0.1400012969970703,-0.25,-0.1999988555908203
2017-02-21,-0.12000083923339844,0.8800010681152344,0.0,0.8700008392333984
2017-02-22,-0.030000686645507812,0.020000457763671875,-0.3599987030029297,-0.2199993133544922
2017-02-23,0.0,0.03999900817871094,-0.4799995422363281,-0.07999992370605469
2017-02-24,-1.4300003051757812,0.5799999237060547,-0.3400001525878906,0.3400001525878906
2017-02-27,0.05999946594238281,0.12000083923339844,-0.26000022888183594,0.010000228881835938
2017-02-28,-0.010000228881835938,0.0,-1.6999988555908203,-1.029998779296875
2017-03-01,0.3299999237060547,0.6999988555908203,-0.2700004577636719,0.28999900817871094
2017-03-02,-0.010000228881835938,0.14999961853027344,-0.28999900817871094,-0.12999916076660156
2017-03-03,0.0,0.07999992370605469,-0.3800010681152344,-0.25
2017-03-06,-0.15999984741210938,0.5199985504150391,-0.5300006866455078,0.39999961853027344
2017-03-07,-0.049999237060546875,0.4199981689453125,-0.05000114440917969,0.15999984741210938
2017-03-08,0.12999916076660156,0.1100006103515625,-0.3299999237060547,-0.20000076293945312
2017-03-09,-0.05999946594238281,0.22999954223632812,-0.18000030517578125,-0.029998779296875
2017-03-10,0.2199993133544922,0.11999893188476562,-0.21000099182128906,-0.030000686645507812
2017-03-13,-0.010000228881835938,0.32000160217285156,-0.11999893188476562,0.1700000762939453
2017-03-14,-0.09999847412109375,0.0,-0.470001220703125,-0.3100013732910156
2017-03-15,0.09000015258789062,0.12000083923339844,-0.25,-0.10000038146972656
2017-03-16,0.13000106811523438,0.09000015258789062,-0.25,-0.13000106811523438
2017-03-17,-0.09999847412109375,0.5999984741210938,-0.15000152587890625,0.48999977111816406
2017-03-20,0.06999969482421875,0.049999237060546875,-0.470001220703125,-0.3000011444091797
2017-03-21,0.1700000762939453,0.060001373291015625,-1.019998550415039,-1.0
2017-03-22,-0.009998321533203125,0.2999992370605469,-0.3100013732910156,-0.10000038146972656
2017-03-23,-0.05000114440917969,0.6100006103515625,-0.10999870300292969,0.3299999237060547
2017-03-24,0.20000076293945312,0.6200008392333984,-0.1399993896484375,0.10000038146972656
2017-03-27,-0.10000038146972656,0.1399993896484375,-0.37999916076660156,-0.09000015258789062
2017-03-28,-0.06999969482421875,0.1900005340576172,-0.46000099182128906,-0.05999946594238281
2017-03-29,-0.15999984741210938,0.28999900817871094,-0.030000686645507812,0.23999977111816406
2017-03-30,0.0,0.3599987030029297,-0.04000091552734375,0.26999855041503906
2017-03-31,-0.009998321533203125,0.1399993896484375,-0.3300018310546875,0.009998321533203125
2017-04-03,0.010000228881835938,0.15999984741210938,-0.9899997711181641,-0.9699993133544922
2017-04-04,-0.05999946594238281,0.3299999237060547,-0.6400012969970703,-0.5500011444091797
